municipality_code,municipality_name,population_2024,facilities,sus_linked_facilities,sus_beds,existing_equipment,facilities_per_10k,sus_beds_per_10k,equipment_per_10k,sus_linked_share,health_spending_per_capita,personnel_spending_share_health_spending,investment_share_health_spending,transfer_share_health_spending,own_revenue_applied_asps_lc141,outpatient_records,outpatient_approved_quantity,outpatient_approved_value_brl,outpatient_quantity_per_1000,outpatient_value_per_capita_brl,primary_care_total_production_2025,primary_care_home_visit_share,primary_care_dental_share,primary_care_procedure_share,primary_care_production_per_1000,cluster,cluster_label,pc1,pc2
500430,Iguatemi - MS,14017,29,13,33,308,20.689163159021188,23.54284083612756,219.73318113719057,0.4482758620689655,2192.12,54.33,1.76,28.79,22.57,8470,124257,511016.42,8864.735678105157,36.45690375972034,243387,0.5163299601046892,0.026118897065167818,0.3010842814119078,17363.701219947205,Cluster 3,Regional hubs and dense network,0.8126178520870335,-1.2641087089484078
500440,Inocência - MS,8712,27,11,15,31,30.991735537190085,17.21763085399449,35.583103764921944,0.4074074074074074,4646.95,66.89,6.74,24.22,27.9,4530,74701,396893.02,8574.49494949495,45.557050045913684,207483,0.464153689699879,0.035713769320860025,0.28918031838753055,23815.77134986226,Cluster 1,Small municipalities with high local capacity,-1.3644219340646688,-2.1735483047437416
500450,Itaporã - MS,25075,36,22,23,192,14.356929212362912,9.17248255234297,76.57028913260218,0.6111111111111112,1768.63,41.84,5.64,26.64,28.09,5834,117395,473469.44,4681.754735792622,18.88213120638086,407649,0.47473439159669223,0.02017667159737912,0.31796471964852113,16257.188434695912,Cluster 4,Lower-density structure,-0.4386870557357171,0.4757778016206034
500460,Itaquiraí - MS,19996,19,15,15,79,9.501900380076014,7.501500300060012,39.50790158031606,0.7894736842105263,1764.31,55.89,3.03,32.05,23.24,4463,224005,1157730.22,11202.49049809962,57.898090618123625,341270,0.5682655961555366,0.01936589796934978,0.26069387874703315,17066.913382676536,Cluster 4,Lower-density structure,-0.602623600190086,2.310087608117888
500470,Ivinhema - MS,29613,125,17,33,539,42.21119103096613,11.143754432175058,182.01465572552596,0.136,1871.88,51.36,3.6,39.24,22.19,17096,366952,1247323.66,12391.584776956068,42.12081383176307,527892,0.5410595349048669,0.01669470270434104,0.287628908943496,17826.36004457502,Cluster 3,Regional hubs and dense network,2.230532933151237,-1.0317841605701612
500480,Japorã - MS,8409,8,8,0,34,9.513616363420144,0,40.43286954453561,1,1588.59,32.349999999999994,6.659999999999999,59.68,16.99,313,303,60750,36.032821976453796,7.224402425972173,75266,0.45542476018388117,0.02010203810485478,0.3325538755879149,8950.648115114758,Cluster 2,High spending and outcome-alert profile,-2.1397660952442763,4.504403039376877
500490,Jaraguari - MS,7425,5,5,0,115,6.734006734006734,0,154.88215488215488,1,2786.56,52.39,15.58,13.52,26.57,14149,115708,118782.21,15583.569023569024,15.997604040404042,70691,0.16290616910214878,0.021318131020922042,0.555162609101583,9520.6734006734,Cluster 4,Lower-density structure,-2.223638814788939,0.64629370882469
500500,Jardim - MS,24509,77,26,37,177,31.4170304785997,15.096495165041414,72.21836876249542,0.33766233766233766,1741.9,52.16,4,50.66,24.07,39064,252025,918022.25,10282.957280998817,37.45653637439308,479787,0.4928416151333821,0.02381056593863527,0.3221429509344772,19575.951691215472,Cluster 3,Regional hubs and dense network,1.411865303416505,-0.23774014216504322
500510,Jateí - MS,3620,14,11,10,53,38.67403314917127,27.624309392265193,146.40883977900552,0.7857142857142857,4565.9,48.64,8.5,16.419999999999998,19.35,8604,86784,26514,23973.480662983427,7.324309392265193,96420,0.5582036921800456,0.00833851897946484,0.29125700062227755,26635.359116022097,Cluster 1,Small municipalities with high local capacity,-2.4416630223204767,-4.30398546150919
500515,Juti - MS,7009,14,9,9,56,19.974318733057498,12.840633471251248,79.89727493222999,0.6428571428571429,2787.94,43.75,3.5,23.97,27.71,12973,123865,136266.86,17672.27849907262,19.441697817092308,81028,0.3036110973984302,0.042010169324184235,0.40445278175445526,11560.564987872736,Cluster 4,Lower-density structure,-1.4772387513426244,-1.2123840555282546
500520,Ladário - MS,22290,20,13,0,76,8.972633467922835,0,34.096007178106774,0.65,891.54,47.73,0.9,43.45,16.2,8119,79328,1102890.89,3558.9053387169133,49.47917855540601,252274,0.4733504047186789,0.0260510397425022,0.3191529844534118,11317.810677433827,Cluster 4,Lower-density structure,0.1417018553513845,3.8597177276064096
500525,Laguna Carapã - MS,7012,13,10,7,36,18.539646320593267,9.982886480319454,51.3405590416429,0.7692307692307693,2726.8,66.82,6.34,28.31,23.44,1035,47226,177010.1,6735.025670279521,25.243881916714205,124342,0.49305142268903507,0.023395152080552026,0.3288912837174889,17732.74386765545,Cluster 4,Lower-density structure,-1.9585959120652412,-0.579411770793299
500540,Maracaju - MS,47558,93,49,46,309,19.555069599226208,9.672400016821566,64.97329576517095,0.5268817204301075,1949.48,39.09,1,40.16,20.25,86282,593985,3735303.84,12489.69679128643,78.54207157576012,581142,0.32166664945916834,0.03238107037522671,0.4462317299386381,12219.647588208083,Cluster 3,Regional hubs and dense network,1.194653810447647,0.9017379566085838
500560,Miranda - MS,26487,36,26,24,57,13.591573224600749,9.061048816400499,21.51999093895118,0.7222222222222222,1681.22,32.89,2.13,47.25,23.76,147118,429469,955634.83,16214.33155887794,36.079391022010796,358544,0.560349636306841,0.027034338881699316,0.26702162077736624,13536.602861781252,Cluster 4,Lower-density structure,-0.45187369863381993,2.075684334627217
500568,Mundo Novo - MS,19937,39,16,42,98,19.561619100165522,21.066359030947485,49.15483773887746,0.41025641025641024,1180.92,53.23,1.88,37.66,19.959999999999997,5140,65696,326586,3295.1798164217284,16.38089983447861,250438,0.4171491546809989,0.03459938188294109,0.3521829754270518,12561.468626172444,Cluster 3,Regional hubs and dense network,0.6487802751851494,1.2636003574961403
500570,Naviraí - MS,52707,183,64,80,867,34.72024588764301,15.178249568368528,164.49427969719392,0.34972677595628415,1962.23,57.33,4.14,46.13,25.68,102402,802609,4724301.609999999,15227.749634773369,89.63328609103154,738094,0.4779743501505228,0.025140429267816837,0.33189945996038445,14003.71867114425,Cluster 3,Regional hubs and dense network,2.376158485789446,-0.6839345240235281
500580,Nioaque - MS,13412,17,13,6,93,12.675216224276767,4.47360572621533,69.3408887563376,0.7647058823529411,2020.05,46.87,8.3,44.1,19.49,3624,87149,175453.16999999998,6497.837757232329,13.081805099910527,161731,0.6538635141067575,0.02308153662563145,0.2030099362521718,12058.678795108857,Cluster 2,High spending and outcome-alert profile,-1.2099230681296085,2.091470261384617
500600,Nova Alvorada do Sul - MS,23054,38,18,21,131,16.48303981955409,9.109048321332523,56.82311095688384,0.47368421052631576,1848.88,64.67999999999999,2.48,33.120000000000005,22.19,8337,144534,806691.3999999999,6269.367571787976,34.99138544287325,208569,0.4132828943898662,0.02407836255627634,0.3595356932238252,9046.97666348573,Cluster 4,Lower-density structure,0.34788011272874253,0.6754620058276387
500620,Nova Andradina - MS,50610,221,43,86,422,43.66725943489429,16.992689191859316,83.38273068563525,0.1945701357466063,2351.5,36.260000000000005,2.69,45.87,29.1,76910,537221,2972200.51,10614.918000395179,58.727534281762495,573203,0.3716205253636146,0.03432291875653128,0.36189098800948355,11325.884212606205,Cluster 3,Regional hubs and dense network,2.5956918401400864,-1.4563486954212206
500625,Novo Horizonte do Sul - MS,4811,8,6,12,24,16.628559551028893,24.94283932654334,49.88567865308668,0.75,2644.8700000000003,34.68,17.87,40.23,19.01,983,24816,108155.51,5158.179172729162,22.48087923508626,111146,0.42699692296618863,0.0007647598654022637,0.3483256257535134,23102.473498233216,Cluster 2,High spending and outcome-alert profile,-2.9295309603266486,0.37258556824463185
500627,Paraíso das Águas - MS,5777,17,12,0,142,29.427038255149732,0,245.80231954301541,0.7058823529411765,3729.77,37.41,10.95,22.37,17.779999999999998,27804,187848,417797.19,32516.53107149039,72.32078760602388,109254,0.432798799128636,0.02342248338733593,0.3552272685668259,18911.89198545958,Cluster 4,Lower-density structure,-1.1626658253590607,-0.8836621599289998
500630,Paranaíba - MS,42543,170,38,161,598,39.95957031709094,37.84406365324495,140.56366499776698,0.2235294117647059,2280.62,37.379999999999995,0.8600000000000001,54.42,22.64,105294,1472667,6148477.2700000005,34615.965023623154,144.52382930211786,549709,0.5265440442124834,0.015537311559388695,0.27176196860520746,12921.256140845733,Cluster 3,Regional hubs and dense network,2.9491240253582105,-1.9373746902491191
500635,Paranhos - MS,13323,27,16,11,80,20.26570592208962,8.256398708999475,60.046536065450724,0.5925925925925926,1578.84,35.93,7.9,51.06,29.82,14484,72743,192653.07,5459.956466261352,14.460186894843504,179058,0.5433211585072993,0.026644997710239142,0.27548615532397325,13439.765818509346,Cluster 4,Lower-density structure,-0.29438145377395886,1.1620825417743181
500640,Pedro Gomes - MS,6974,12,5,34,98,17.20676799541153,48.75250932033267,140.52193862919415,0.4166666666666667,2286.96,45.260000000000005,2.8299999999999996,21.16,23.49,1914,58544,186526.53,8394.608546028105,26.745989389159735,127821,0.5797873588846904,0.023658084352336472,0.24213548634418444,18328.219099512473,Cluster 1,Small municipalities with high local capacity,-0.7022636415180306,-1.9310828543270426
500660,Ponta Porã - MS,97577,183,57,127,1099,18.754419586582905,13.015362226754254,112.62900068663721,0.3114754098360656,1196.51,44.05,4.01,75.35,15.31,121908,811780,10177658.45,8319.378542074464,104.303867202312,1441963,0.48779476311112,0.02295759322534628,0.2727642803594822,14777.693513840351,Cluster 3,Regional hubs and dense network,2.829694975039129,2.190590801780849
500690,Porto Murtinho - MS,12864,18,13,17,86,13.992537313432836,13.215174129353235,66.85323383084577,0.7222222222222222,3839.37,30.25,14.32,30.14,20.479999999999997,13197,87278,281797.04,6784.67039800995,21.905864427860696,211104,0.4297076322570866,0.02475557071396089,0.3690834849173867,16410.447761194027,Cluster 4,Lower-density structure,-2.833377780973036,-0.13967840836030626
500710,Ribas do Rio Pardo - MS,23996,65,17,35,128,27.08784797466244,14.585764294049008,53.34222370395066,0.26153846153846155,3007.56,51.82,5.29,13.98,25.01,34051,381507,902646.31,15898.7747957993,37.616532338723125,295158,0.3579980891590267,0.025698100678280784,0.4192025965753935,12300.300050008334,Cluster 4,Lower-density structure,0.15095692803255154,-1.3628990081494272
500720,Rio Brilhante - MS,39936,128,32,52,403,32.05128205128205,13.020833333333332,100.91145833333334,0.25,2007.48,47.52,3.96,33.89,24.35,56168,489361,2052260.6199999999,12253.630809294873,51.38873747996794,635898,0.5438466546521612,0.01755784732771608,0.2781499548669755,15922.926682692309,Cluster 3,Regional hubs and dense network,1.401622695427773,-0.45856145509904417
500730,Rio Negro - MS,4933,10,8,8,28,20.27163997567403,16.217311980539225,56.760591931887284,0.8,2786.15,36.48,0.56,34.28,18.77,2261,28247,141925.56,5726.1301439286435,28.770638556659232,101835,0.4011489173663279,0.027790052535965042,0.3474247557323121,20643.62456922765,Cluster 1,Small municipalities with high local capacity,-1.6626923298803344,0.2756245520444135
